title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear
Abdülmecid_I,"['Caliph of Islam', ""Amir al-Mu'minin"", 'Sultan of the Ottoman Empire', 'Custodian of the Two Holy Mosques']",,,16,1823,1861
Abiye_Abebe,,Ethiopia,,2,1918,1974
Abraham_Janssen,,,,,1699,1765
Abu_Bakr_Atiku,Sultan of Sokoto,Sokoto,,,1782,1842
Abu_Inan_Faris,"['Sultan of Morocco', 'Amīr al-Muminīn']",,,,1329,1358
Abu_al-Abbas_Ahmad_II,Caliph of Ifriqiya,,,,1329,1394
Adelaide-Blanche_of_Anjou,,Avignon,,5,940,1026
"Adelaide_I,_Abbess_of_Quedlinburg",,Quedlinburg Abbey,,,977,1044
"Adelaide_II,_Abbess_of_Quedlinburg",,Quedlinburg Abbey,,,1045,1096
Adelaide_of_Hesse,,,,1,1324,1371
Adelaide_of_Hungary_(d._1140),Duchess consort of Bohemia,,,1,1105,1140
Adelaide_of_Löwenstein-Wertheim-Rosenberg,,Ryde,Kleinheubach,1,1831,1909
Adelaide_of_Meissen,,Meissen,Meissen,1,1160,1211
Adeyinka_Oyekan,Oba of Lagos,Lagos,Lagos,,1911,2003
Adolf_IV_of_Holstein,,Kiel,,1,1205,1261
"Adolf_William,_Duke_of_Saxe-Eisenach",,Eisenach,Weimar,1,1632,1668
"Adolph,_Landgrave_of_Hesse-Philippsthal-Barchfeld",Landgrave of Hesse-Philippsthal-Barchfeld,Barchfeld,Ypres,1,1743,1803
"Adolphus_Frederick_III,_Duke_of_Mecklenburg-Strelitz",Duke of Mecklenburg-Strelitz,Neustrelitz,Neustrelitz,1,1686,1752
"Adolphus_Frederick_VI,_Grand_Duke_of_Mecklenburg-Strelitz",,Neustrelitz,Neustrelitz,,1882,1918
"Adèle_of_France,_Countess_of_Flanders",Countess of Flanders,Mesen,,2,1009,1079
"Afonso,_Prince_Imperial_of_Brazil",Prince Imperial of Brazil,Paço de São Cristóvão,Paço de São Cristóvão,,1845,1847
"Afonso,_Prince_of_Portugal_(1526)",Prince of Portugal,,,,1526,1526
Agnes_Haakonsdatter,,,,1,1290,1319
"Agnes_II,_Abbess_of_Quedlinburg",,Quedlinburg Abbey,Meissen,,1139,1203
"Agnes_of_Aquitaine,_Countess_of_Savoy",,,,1,1052,1089
Agnes_of_Austria_(1154–1182),,,,2,1154,1182
Agnes_of_Austria_(1281–1364),,Königsfelden Monastery,,1,1281,1364
Agnes_of_Brandenburg,,,,2,1257,1304
Agnes_of_Dampierre,Lady of Bourbon,,,1,1237,1288
Agnes_of_Hesse,"['Duchess of Saxony', 'Electress of Saxony']",Weimar,Marburg,2,1527,1555
Agustín_Jerónimo_de_Iturbide_y_Huarte,Prince Imperial of Mexico,New York,Morelia,,1807,1866
