title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear,birthCountry
Al-Mutawakkil_II,,,,,1416,1497,
Al-Muwaffaq,Regent (de facto) of theAbbasid Caliphate,,,,842,891,
Al-aman_Mirza,Shahzadaof theMughal Empire,,,,1528,1528,
Al_Bandari_bint_Abdulaziz_Al_Saud,,,,,1928,2008,
Alavi_Thangal,,,,,1752,1845,Yemen
"Balthasar,_Duke_of_Mecklenburg",,,,,1451,1507,
Barbara_Zápolya,,,,,1495,1515,
Barbara_of_Brandenburg,,,,,1464,1515,
"Barnim_X,_Duke_of_Pomerania",Duke of Pomerania,,,,1549,1603,
Baron_Aschwin_of_Sierstorpff-Cramm,,,,,1846,1909,
Baroness_Elisabeth_of_Wangenheim-Winterstein,Hereditary Grand Duchess of Saxe-Weimar-Eisenach,,,,1912,2010,
Baroness_Hedwig_of_Sierstorpff-Driburg,,,,,1848,1900,
Baroness_Wilhelmine_of_Dörnberg,Princess of Thurn and Taxis,,,,1803,1835,
Bars_Bolud_Jinong,Khagan of the Mongols Jinong,,,,1490,1519,
Bathilde_d'Orléans,Princess of Condé,,,,1750,1822,
"Baudouin,_12th_Prince_of_Ligne",Prince of Ligne,,,,1918,1985,
"Beatrice,_Duchess_of_Viseu",Duchess of Viseu,,,,1430,1506,
"Beatrice_I,_Abbess_of_Quedlinburg",,,,,1037,1061,Italy
"Beatrice_d'Este,_Queen_of_Hungary",,,,,1215,1245,
Beatrice_of_Bavaria,,,,,1344,1359,
"Beatrice_of_Bourbon,_Queen_of_Bohemia",,,,,1320,1383,
"Beatrice_of_Castile,_Marchioness_of_Montferrat",,,,,1254,1286,
Beatrice_of_Castile_(1242–1303),,,,,1242,1303,
Beatrice_of_Luxembourg,,,,,1305,1319,
Beatrice_of_Naples,,,,,1457,1508,
Beatrice_of_Provence,,,,,1234,1267,
"Beatrice_of_Sicily,_Latin_Empress",Latin Empress of Constantinople,,,,1252,1275,
Beatrice_of_Sicily_(1326–1365),,,,,1326,1365,
Beatrice_of_Silesia,,,,,1290,1322,
Beatrice_of_Swabia,,,,,1198,1212,
Beatriz_Pereira_de_Alvim,,,,,1380,1415,
Bedrifelek_Kadınefendi,,,,,1851,1930,
Begum_Om_Habibeh_Aga_Khan,,,,,1906,2000,
Behice_Hanımefendi,,,,,1882,1969,
Benedicta_Henrietta_of_the_Palatinate,Duchess of Brunswick-Lüneburg,,,,1652,1730,France
Benigna_Gottlieb_von_Trotha_gt_Treyden,Duchess of Courland,,,,1703,1782,
Bennett_Nāmākēhā,,,,,1799,1860,
Berengaria_of_Barcelona,"['Empress of All Spain', 'Queen of León Castile and Galicia']",,,,1116,1149,
"Bernard_II,_Duke_of_Saxe-Lauenburg",,,,,1385,1463,
"Bernhard,_Prince_of_Saxe-Meiningen",Prince of Saxe-Meiningen,,,,1901,1984,
"Bernhard_II,_Duke_of_Saxe-Jena",,,,,1638,1678,
"Bernhard_II,_Duke_of_Saxe-Meiningen",Duke of Saxe-Meiningen,,,,1800,1882,
"Bernhard_III,_Duke_of_Saxe-Meiningen",Duke of Saxe-Meiningen,,,,1851,1928,
Bertha_of_Savoy,,,,,1051,1087,
Berthe_de_Rohan,Duchess of Madrid,,,,1868,1945,
"Berthold,_Margrave_of_Baden",Margrave of Baden,,,,1906,1963,Germany
"Berthold_V,_Duke_of_Zähringen",,,,,1160,1218,
Bertram_Willes_Dayrell_Brooke,,,,,1876,1965,
Beyene_Merid,,,,,1897,1937,
Bhagvat_Singh,MaharajaofGondal,,,,1865,1944,
Bharani_Thirunal_Lakshmi_Bayi,,,,,1848,1901,
Bhim_Singh_II,Uprajpramukh ofRajasthan,,,,1909,1991,
Bhim_Singh_of_Mewar,Ruler ofUdaipur State,,,,1768,1828,
Bhoja_II,,,,,1175,1212,
Bianca_of_Savoy,,,,,1335,1387,
Bidar_Bakht,Shahzada of theMughal Empire,,,,1670,1707,India
Bidar_Kadınefendi,,,,,1858,1918,
